date,open,high,low,close,adjusted_close,volume
2019-01-02,154.89,158.85,154.23,157.92,37.6197490999,3.7039737E7
2019-01-03,143.98,145.72,142.0,142.19,33.8725438483,9.1312195E7
2019-01-04,144.53,148.55,143.8,148.26,35.3185410433,5.860707E7
2019-01-07,148.7,148.83,145.9,147.93,35.2399283457,5.4777764E7
2019-01-08,149.56,151.82,148.52,150.75,35.9117095796,4.1025314E7
2019-01-09,151.29,154.53,149.63,153.31,36.5215535367,4.5099081E7
2019-01-10,152.5,153.97,150.86,153.8,36.6382814816,3.578067E7
2019-01-11,152.88,153.7,151.51,152.29,36.278568835,2.7023241E7
2019-01-14,150.85,151.27,149.22,150.0,35.7330443578,3.2439186E7
2019-01-15,150.27,153.39,150.05,153.07,36.4643806657,2.8710324E7
2019-01-16,153.08,155.88,153.0,154.94,36.9098526187,3.0569706E7
2019-01-17,154.2,157.66,153.26,155.86,37.1290152907,2.982116E7
2019-01-18,157.5,157.88,155.98,156.82,37.3577067746,3.3751023E7
2019-01-22,156.41,156.73,152.62,153.3,36.5191713337,3.039397E7
2019-01-23,154.15,155.14,151.7,153.92,36.666867917,2.313057E7
2019-01-24,154.11,154.48,151.74,152.7,36.3762391563,2.5441549E7
2019-01-25,155.48,158.13,154.32,157.76,37.5816338526,3.3547893E7
2019-01-28,155.79,156.33,153.66,156.3,37.2338322209,2.6192058E7
2019-01-29,156.25,158.13,154.11,154.68,36.8479153418,4.1587239E7
2019-01-30,163.25,166.15,160.23,165.25,39.3659038675,6.110978E7
2019-01-31,166.11,169.0,164.56,166.44,39.6493860194,4.0739649E7
2019-02-01,166.96,168.98,165.93,166.52,39.6684436431,3.2668138E7
2019-02-04,167.41,171.66,167.28,171.25,40.7952256419,3.1495582E7
2019-02-05,172.86,175.08,172.35,174.18,41.4932111083,3.6101628E7
2019-02-06,174.65,175.57,172.85,174.24,41.5075043261,2.8239591E7
2019-02-07,172.4,173.94,170.34,170.94,40.7213773502,3.174169E7
2019-02-08,168.99,170.66,168.42,170.41,40.7690214093,2.3819966E7
2019-02-11,171.05,171.21,169.25,169.43,40.5345654444,2.0993425E7
2019-02-12,170.1,171.0,169.7,170.89,40.883856984,2.2283523E7
2019-02-13,171.39,172.48,169.92,170.18,40.7139960298,2.2490233E7
2019-02-14,169.71,171.26,169.38,170.8,40.8623253137,2.1835747E7
2019-02-15,171.25,171.7,169.75,170.42,40.7714138171,2.4626814E7
2019-02-19,169.71,171.44,169.49,170.93,40.8934266152,1.8972826E7
2019-02-20,171.19,173.32,170.99,172.03,41.1565914738,2.6114362E7
2019-02-21,171.8,172.37,170.3,171.06,40.9245279167,1.724967E7
2019-02-22,171.58,173.0,171.38,172.97,41.3814778075,1.8913154E7
2019-02-25,174.16,175.87,173.95,174.23,41.6829211909,2.1873358E7
2019-02-26,173.71,175.3,173.17,174.33,41.706845269,1.7070211E7
2019-02-27,173.21,175.0,172.73,174.87,41.8360352905,2.7835389E7
2019-02-28,174.32,174.91,172.92,173.15,41.424541148,2.8215416E7
2019-03-01,174.28,175.15,172.89,174.97,41.8599593685,2.5886167E7
2019-03-04,175.69,177.75,173.97,175.85,42.0704912554,2.7436203E7
2019-03-05,175.94,176.0,174.54,175.53,41.9939342056,1.9737419E7
2019-03-06,174.67,175.49,173.94,174.52,41.7523010173,2.0810384E7
2019-03-07,173.87,174.44,172.02,172.5,41.2690346406,2.4796374E7
2019-03-08,170.32,173.07,169.5,172.91,41.3671233606,2.3999358E7
2019-03-11,175.49,179.12,175.35,178.9,42.800175636,3.2011034E7
2019-03-12,180.0,182.67,179.37,180.91,43.2810496048,3.2467584E7
2019-03-13,182.25,183.3,180.92,181.71,43.4724422293,3.1032524E7
2019-03-14,183.9,184.1,182.56,183.73,43.9557086059,2.3579508E7
2019-03-15,184.85,187.33,183.74,186.12,44.5274940714,3.9042912E7
2019-03-18,185.8,188.39,185.79,188.02,44.9820515544,2.6219832E7
2019-03-19,188.35,188.99,185.92,186.53,44.6255827914,3.1646369E7
2019-03-20,186.23,189.49,184.73,188.16,45.0155452637,3.1035231E7
2019-03-21,190.02,196.33,189.81,195.09,46.6734838727,5.1034237E7
2019-03-22,195.34,197.69,190.78,191.05,45.7069511194,4.2407666E7
2019-03-25,191.51,191.98,186.6,188.74,45.1543049164,4.3845293E7
2019-03-26,191.66,192.88,184.58,186.79,44.6877853943,4.9800538E7
2019-03-27,188.75,189.76,186.55,188.47,45.0897099056,2.9848427E7
2019-03-28,188.95,189.56,187.53,188.72,45.1495201007,2.0780363E7
2019-03-29,189.83,190.08,188.54,189.95,45.4437862608,2.3563961E7
2019-04-01,191.64,191.68,188.38,191.24,45.7524068677,2.7861964E7
2019-04-02,191.09,194.46,191.05,194.02,46.4174962375,2.2765732E7
2019-04-03,193.25,196.5,193.15,195.35,46.7356864756,2.327183E7
2019-04-04,194.79,196.37,193.14,195.69,46.817028341,1.9114275E7
2019-04-05,196.45,197.1,195.93,197.0,47.1304337635,1.8526644E7
2019-04-08,196.42,200.23,196.34,200.1,47.8720801831,2.5881697E7
2019-04-09,200.32,202.85,199.23,199.5,47.7285357148,3.5768237E7
2019-04-10,198.68,200.74,198.18,200.62,47.996485389,2.1695288E7
2019-04-11,200.85,201.0,198.44,198.95,47.5969532855,2.0900808E7
2019-04-12,199.2,200.14,196.21,198.87,47.5778140231,2.7760668E7
2019-04-15,198.58,199.85,198.01,199.23,47.6639407041,1.7536646E7
2019-04-16,199.46,201.37,198.56,199.25,47.6687255197,2.5696385E7
2019-04-17,199.54,203.38,198.61,203.13,48.5969797481,2.890678E7
2019-04-18,203.12,204.15,202.52,203.86,48.7716255179,2.4195766E7
2019-04-22,202.83,204.94,202.34,204.53,48.9319168409,1.9439545E7
2019-04-23,204.43,207.75,203.9,207.48,49.6376771434,2.3322991E7
2019-04-24,207.36,208.48,207.05,207.16,49.5611200936,1.7540609E7
2019-04-25,206.83,207.76,205.12,205.28,49.1113474262,1.8543206E7
2019-04-26,204.9,205.0,202.12,204.3,48.8768914613,1.8649102E7
2019-04-29,204.4,205.97,203.86,204.61,48.9510561033,2.2204716E7
2019-04-30,203.06,203.4,199.11,200.67,48.008447428,4.6534923E7
2019-05-01,209.88,215.31,209.23,210.52,50.3649691162,6.4827328E7
2019-05-02,209.84,212.65,208.13,209.15,50.0372092469,3.1996324E7
2019-05-03,210.89,211.84,210.23,211.75,50.6592352762,2.0892378E7
2019-05-06,204.29,208.84,203.5,208.48,49.8769179239,3.2443113E7
2019-05-07,205.88,207.42,200.83,202.86,48.5323847374,3.8763698E7
2019-05-08,201.9,205.34,201.75,202.9,48.5419543686,2.6339504E7
2019-05-09,200.4,201.68,196.66,200.72,48.0204094671,3.4908607E7
2019-05-10,197.42,198.85,192.77,197.18,47.357712505,4.1208712E7
2019-05-13,187.71,189.48,182.85,185.72,44.605306656,5.7430623E7
2019-05-14,186.41,189.7,185.41,188.66,45.3114212455,3.6529677E7
2019-05-15,186.27,191.75,186.02,190.92,45.8542168144,2.6544718E7
2019-05-16,189.91,192.47,188.84,190.08,45.6524697888,3.3031364E7
2019-05-17,186.93,190.9,186.76,189.0,45.3930807559,3.287909E7
2019-05-20,183.52,184.35,180.28,183.09,43.9736463259,3.861229E7
2019-05-21,185.22,188.0,184.7,186.6,44.8166606828,2.8364848E7
2019-05-22,184.66,185.71,182.55,182.78,43.8991920665,2.9748556E7
2019-05-23,179.8,180.54,177.81,179.66,43.1498459714,3.6529736E7
2019-05-24,180.2,182.14,178.62,178.97,42.9841252004,2.3714686E7
2019-05-28,178.92,180.59,177.91,178.23,42.8063956779,2.794816E7
2019-05-29,176.42,179.35,176.0,177.38,42.602246902,2.8481165E7
2019-05-30,177.95,179.23,176.67,178.3,42.82320793,2.1218412E7
2019-05-31,176.23,177.99,174.99,175.07,42.0474425817,2.7043584E7
2019-06-03,175.6,177.92,170.27,173.3,41.6223327777,4.0396069E7
2019-06-04,175.44,179.83,174.52,179.64,43.1450424708,3.0967961E7
2019-06-05,184.28,184.99,181.14,182.54,43.8415500591,2.9773427E7
2019-06-06,183.08,185.47,182.15,185.22,44.4852191408,2.2526311E7
2019-06-07,186.51,191.92,185.77,190.15,45.6692820409,3.0684393E7
2019-06-10,191.81,195.37,191.62,192.58,46.2529073649,2.6220851E7
2019-06-11,194.86,196.0,193.6,194.81,46.7884976828,2.6932882E7
2019-06-12,193.95,195.97,193.39,194.19,46.6395891639,1.8253189E7
2019-06-13,194.7,196.79,193.6,194.15,46.6299821627,2.1674625E7
2019-06-14,191.55,193.59,190.3,192.74,46.2913353698,1.8761474E7
2019-06-17,192.9,194.96,192.17,193.89,46.5675366548,1.4669144E7
2019-06-18,196.05,200.29,195.21,198.45,47.6627347937,2.6551004E7
2019-06-19,199.68,199.88,197.31,197.87,47.523433276,2.1124235E7
2019-06-20,200.37,200.61,198.03,199.46,47.9053115744,2.1513988E7
2019-06-21,198.8,200.85,198.15,198.78,47.7419925537,4.7800589E7
2019-06-24,198.54,200.16,198.17,198.58,47.6939575476,1.8220421E7
2019-06-25,198.43,199.26,195.29,195.57,46.971030706,2.1070334E7
2019-06-26,197.77,200.99,197.35,199.8,47.9869710848,2.6067512E7
2019-06-27,200.29,201.57,199.57,199.74,47.972560583,2.0899717E7
2019-06-28,198.68,199.5,197.05,197.92,47.5354420275,3.1110642E7
2019-07-01,203.17,204.49,200.65,201.55,48.4072773881,2.7316739E7
2019-07-02,201.41,203.13,201.36,202.73,48.690683924,1.6935217E7
2019-07-03,203.28,204.44,202.69,204.41,49.0941779752,1.1362045E7
