date,open,high,low,close,adjusted_close,volume
2019-01-02,175.41,176.3,174.17,176.06,151.3332565139,2571462.0
2019-01-03,175.45,176.45,174.41,174.9,150.3361726928,3728238.0
2019-01-04,176.03,179.2,175.69,178.28,153.2414686545,3194259.0
2019-01-07,178.14,181.88,178.14,180.22,154.9090053899,3282952.0
2019-01-08,181.96,182.29,179.91,180.6,155.2356362968,2941377.0
2019-01-09,180.56,180.9,179.19,180.29,154.9691742412,2680712.0
2019-01-10,179.84,181.88,179.32,181.55,156.0522135642,2498483.0
2019-01-11,180.59,182.4,180.46,182.37,156.7570486791,2348922.0
2019-01-14,181.42,181.75,180.69,181.22,155.7685604081,1886302.0
2019-01-15,181.47,183.21,180.74,181.02,155.5966494045,3860212.0
2019-01-16,180.94,181.53,179.14,179.35,154.161192524,3376029.0
2019-01-17,179.25,181.11,179.03,181.11,155.6740093561,3061038.0
2019-01-18,183.04,183.26,180.94,182.57,156.9289596828,3497959.0
2019-01-22,182.25,185.48,182.25,184.57,158.6480697193,3190315.0
2019-01-23,184.78,186.17,184.11,186.09,159.954593347,2530657.0
2019-01-24,186.86,187.88,185.94,187.37,161.0548237704,3214190.0
2019-01-25,188.77,189.42,183.93,184.0,158.1581233589,4408751.0
2019-01-28,183.06,183.72,181.83,183.6,157.8143013516,4138677.0
2019-01-29,183.28,183.72,180.97,182.17,156.5851376755,3666741.0
2019-01-30,182.92,187.79,178.67,181.77,156.2413156682,9489921.0
2019-01-31,180.25,181.85,176.87,178.78,153.6712461636,1.0440122E7
2019-02-01,179.55,180.49,176.48,176.72,151.900562826,6529191.0
2019-02-04,177.29,177.78,175.66,177.55,152.6139934911,4533792.0
2019-02-05,177.71,179.42,177.22,177.57,152.6311845915,4495881.0
2019-02-06,177.55,177.55,175.99,176.18,151.4364031161,3965233.0
2019-02-07,176.0,176.26,174.31,175.28,150.6628035997,4176269.0
2019-02-08,174.77,175.47,174.4,174.75,150.20723944,4051647.0
2019-02-11,175.24,175.9,174.17,174.26,149.7860574811,3216447.0
2019-02-12,174.79,175.28,173.8,173.97,149.5367865258,4692769.0
