date,open,high,low,close,adjusted_close,volume
2019-01-02,128.99,137.51,128.56,135.68,134.9482310777,2.8146193E7
2019-01-03,134.69,137.17,131.12,131.74,131.0294808533,2.2717948E7
2019-01-04,134.01,138.0,133.75,137.95,137.2059881867,2.9002059E7
2019-01-07,137.56,138.87,135.91,138.05,137.3054488523,2.0089337E7
2019-01-08,139.89,143.14,139.54,142.53,141.7612866709,2.6263793E7
2019-01-09,142.95,144.7,141.27,144.23,143.452117986,2.2205879E7
2019-01-10,143.08,144.56,140.84,144.2,143.4222797863,1.6125004E7
2019-01-11,143.15,145.36,142.57,143.8,143.0244371239,1.2908031E7
2019-01-14,142.0,146.57,141.27,145.39,144.6058617069,2.0520278E7
2019-01-15,146.01,150.68,145.99,148.95,148.146661402,2.4068822E7
2019-01-16,149.0,149.65,147.0,147.54,146.7442660171,1.8025714E7
2019-01-17,146.95,149.0,146.5,148.3,147.5001670756,1.5787914E7
2019-01-18,149.75,152.43,148.55,150.04,149.230782657,3.1029612E7
2019-01-22,149.2,151.53,146.37,147.57,146.7741042168,2.2378694E7
2019-01-23,148.28,148.8,143.06,144.3,143.5217404519,2.0098415E7
2019-01-24,144.64,146.44,142.52,145.83,145.0434886355,2.0955518E7
2019-01-25,147.48,149.83,146.54,149.01,148.2063378013,2.2250954E7
2019-01-28,148.05,148.96,146.21,147.47,146.6746435512,1.5508483E7
2019-01-29,148.09,148.1,143.43,144.19,143.4123337197,1.7631953E7
2019-01-30,146.22,150.95,145.7,150.42,149.6087331862,4.461324E7
2019-01-31,165.6,171.68,165.0,166.69,165.7909834783,7.7233602E7
2019-02-01,165.84,169.1,165.66,165.71,164.8162689555,3.0806513E7
2019-02-04,165.7,169.3,163.62,169.25,168.3371765175,2.003647E7
2019-02-05,169.15,171.98,168.69,171.16,170.2368752304,2.2556985E7
2019-02-06,171.2,172.47,169.27,170.49,169.5704887709,1.3281161E7
2019-02-07,168.2,169.24,165.25,166.38,165.482655415,1.7517609E7
2019-02-08,164.47,167.37,164.21,167.33,166.4275317381,1.2561422E7
2019-02-11,167.9,168.3,165.08,165.79,164.895837488,1.2811176E7
2019-02-12,166.86,168.34,164.5,165.04,164.149882496,1.629229E7
2019-02-13,165.38,166.22,163.73,164.07,163.1851140398,1.4205146E7
2019-02-14,163.19,164.87,162.25,163.95,163.0657612411,1.2755151E7
2019-02-15,164.51,164.7,160.86,162.5,161.62358159,1.5504415E7
2019-02-19,160.5,164.15,160.33,162.29,161.4147141922,1.434539E7
2019-02-20,162.25,163.72,161.25,162.56,161.6832579893,1.1770692E7
2019-02-21,161.93,162.24,159.59,160.04,159.1768492163,1.5607828E7
2019-02-22,160.58,162.41,160.31,161.89,161.0168715298,1.5858468E7
2019-02-25,163.07,166.07,162.9,164.62,163.7321477005,1.8737106E7
2019-02-26,164.34,166.24,163.8,164.13,163.2447904391,1.3784063E7
2019-02-27,162.9,163.93,160.41,162.81,161.9319096533,1.2697485E7
2019-02-28,162.37,163.5,160.86,161.45,160.5792446012,1.1114185E7
2019-03-01,162.6,163.13,161.69,162.28,161.4047681256,1.109777E7
2019-03-04,163.9,167.5,163.83,167.37,166.4673160044,1.8894689E7
2019-03-05,167.37,171.88,166.55,171.26,170.336335896,2.818789E7
2019-03-06,172.9,173.57,171.27,172.51,171.5795942159,2.1531723E7
2019-03-07,171.5,171.74,167.61,169.13,168.2178237188,1.8306504E7
2019-03-08,166.2,169.62,165.97,169.6,168.6852888471,1.3184831E7
2019-03-11,171.6,174.3,171.58,172.07,171.1419672873,1.8883983E7
2019-03-12,172.09,173.8,171.22,171.92,170.9927762889,1.2155264E7
2019-03-13,172.32,174.03,172.12,173.37,172.43495594,1.197328E7
2019-03-14,169.76,171.15,168.16,170.17,169.252214641,1.8037364E7
2019-03-15,167.16,167.58,162.51,165.98,165.0848127526,3.7126E7
2019-03-18,163.57,163.9,159.28,160.47,159.6045300784,3.7524191E7
2019-03-19,161.48,163.82,160.82,161.57,160.6985973999,2.5611488E7
2019-03-20,161.5,166.12,161.24,165.44,164.5477251584,2.0211474E7
2019-03-21,164.89,166.39,163.75,166.08,165.1842734182,1.6223007E7
2019-03-22,165.65,167.42,164.09,164.34,163.4536578369,1.6389185E7
2019-03-25,163.0,166.54,162.0,166.29,165.393140816,1.263123E7
2019-03-26,167.35,169.45,166.35,167.68,166.7756440677,1.543792E7
2019-03-27,167.85,168.94,164.79,165.87,164.9754060205,1.0620299E7
2019-03-28,164.57,166.72,163.33,165.55,164.6571318906,1.0689171E7
2019-03-29,166.39,167.19,164.81,166.69,165.7909834783,1.3455454E7
2019-04-01,167.83,168.9,167.28,168.7,167.7901428568,1.038149E7
2019-04-02,170.14,174.9,169.55,174.2,173.2604794644,2.3946529E7
2019-04-03,174.5,177.96,172.95,173.54,172.6040390715,2.7590058E7
2019-04-04,176.02,178.0,175.53,176.02,175.0706635782,1.7847731E7
2019-04-05,176.88,177.0,175.1,175.72,174.7722815815,9594133.0
2019-04-08,175.21,175.5,174.23,174.93,173.9865423233,7297379.0
2019-04-09,175.62,179.19,175.55,177.58,176.6222499615,1.9751031E7
2019-04-10,178.18,178.79,176.54,177.82,176.8609555589,1.1701479E7
2019-04-11,178.24,178.4,177.0,177.51,176.5526274956,8070967.0
2019-04-12,178.0,179.63,177.95,179.1,178.1340520785,1.2329812E7
2019-04-15,178.5,180.5,176.87,179.65,178.6810857393,1.0834762E7
2019-04-16,179.0,180.17,178.3,178.87,177.9052925477,1.1215193E7
2019-04-17,179.6,180.74,178.36,178.78,177.8157779486,9973732.0
2019-04-18,178.8,178.88,177.34,178.28,177.3184746207,1.1655608E7
2019-04-22,178.25,181.67,178.25,181.44,180.4614316534,1.3389889E7
2019-04-23,182.74,184.22,181.48,183.78,182.7888112283,1.9954814E7
2019-04-24,184.49,185.14,181.65,182.58,181.5952832412,3.7289871E7
2019-04-25,196.98,198.48,192.12,193.26,192.2176823266,5.4148789E7
2019-04-26,192.5,192.9,189.09,191.49,190.4572285456,2.2075002E7
2019-04-29,190.95,195.41,190.65,194.78,193.7294844436,1.964131E7
2019-04-30,194.19,197.39,192.28,193.4,192.3569272584,2.3494689E7
2019-05-01,194.78,196.18,193.01,193.03,191.9889227957,1.5996646E7
2019-05-02,193.0,194.0,189.75,192.53,191.4916194678,1.3209452E7
2019-05-03,194.38,196.16,193.71,195.47,194.4157630362,1.4575434E7
2019-05-06,191.24,194.28,190.55,193.88,192.8343384533,1.3994932E7
2019-05-07,192.54,192.9,187.85,189.77,188.7465050974,1.6253001E7
2019-05-08,189.39,190.72,188.55,189.54,188.5177455665,1.2505737E7
2019-05-09,187.2,189.77,186.26,188.65,187.6325456427,1.2967033E7
2019-05-10,188.25,190.0,184.59,188.34,187.3242175794,1.2578508E7
2019-05-13,183.5,185.43,180.84,181.54,180.560892319,1.6833347E7
2019-05-14,182.52,183.49,178.1,180.73,179.7552609277,1.7628142E7
2019-05-15,180.42,187.28,180.02,186.27,185.2653818016,1.6746904E7
2019-05-16,185.05,188.58,185.05,186.99,185.9814985939,1.2953111E7
2019-05-17,184.84,187.58,184.28,185.3,184.3006133453,1.048537E7
2019-05-20,181.88,184.23,181.37,182.72,181.734528173,1.0351981E7
2019-05-21,184.57,185.7,183.89,184.82,183.8232021505,7502820.0
2019-05-22,184.73,186.74,183.61,185.32,184.3205054785,9213801.0
2019-05-23,182.42,183.9,179.67,180.87,179.8945058595,1.2768835E7
2019-05-24,182.33,183.63,180.83,181.06,180.0834811242,8807701.0
2019-05-28,181.54,184.71,181.45,184.31,183.315952756,1.4843308E7
2019-05-29,183.5,184.56,181.35,182.19,181.2073866454,1.2797685E7
2019-05-30,183.08,183.48,180.89,183.01,182.0229641032,8581544.0
2019-05-31,180.28,180.54,177.16,177.47,176.5128432293,1.5226536E7
