date,open,high,low,close,adjusted_close,volume
2019-01-02,130.64,138.48,130.05,136.22,3.3775555982,1.271884E7
2019-01-03,133.79,135.16,127.69,127.99,3.1734939144,1.7638786E7
2019-01-04,130.94,137.73,129.7,136.19,3.3768117525,1.4640483E7
2019-01-07,138.5,144.89,136.43,143.4,3.5555826809,1.772898E7
2019-01-08,146.69,146.78,136.9,139.83,3.4670650367,1.9650429E7
2019-01-09,141.9,144.49,139.86,142.58,3.535250897,1.5431475E7
2019-01-10,141.8,145.58,139.36,145.23,3.6009572716,1.3078906E7
2019-01-11,144.33,149.75,143.21,148.83,3.6902187614,2.1869066E7
2019-01-14,146.72,151.46,145.77,150.44,3.7301384833,1.8254249E7
2019-01-15,151.76,153.35,149.13,149.87,3.7160054141,1.5425251E7
2019-01-16,150.97,152.3,148.62,148.84,3.69046671,1.1752592E7
2019-01-17,147.51,153.33,146.41,151.72,3.7618759019,1.2335905E7
2019-01-18,153.73,157.98,151.65,156.93,3.8910571137,1.6283423E7
2019-01-22,155.71,156.18,147.55,148.77,3.6887310699,1.6538776E7
2019-01-23,151.0,154.58,148.03,149.29,3.7016243963,1.4775545E7
2019-01-24,152.7,158.55,152.51,157.84,3.9136204348,1.7724261E7
2019-01-25,155.44,160.88,151.3,160.15,3.9708965575,2.8880547E7
2019-01-28,136.55,141.64,131.0,138.01,3.4219383946,6.2788169E7
2019-01-29,136.15,138.1,131.01,131.6,3.2630033529,2.8848347E7
2019-01-30,134.67,137.97,131.46,137.39,3.4065655824,2.4355739E7
2019-01-31,137.26,145.19,136.38,143.75,3.5642608813,2.1071338E7
2019-02-01,144.5,146.79,142.58,144.73,3.5885598424,1.5626175E7
2019-02-04,145.37,150.68,144.48,149.18,3.6988969619,1.3215018E7
2019-02-05,149.66,151.43,148.3,149.95,3.7179890027,1.3560625E7
2019-02-06,151.29,155.6,151.07,153.0,3.7936133206,1.7561647E7
2019-02-07,151.13,151.22,145.69,147.42,3.6552580112,1.5928E7
2019-02-08,144.71,148.6,144.13,148.17,3.673854155,1.1540137E7
2019-02-11,146.39,148.58,144.5,146.45,3.6312069987,1.2379515E7
2019-02-12,148.0,151.8,147.42,151.17,3.7482387299,1.4776513E7
2019-02-13,152.36,155.83,151.81,152.88,3.7906379376,1.5134302E7
2019-02-14,152.84,155.67,151.1,154.53,3.8315494538,2.0681574E7
2019-02-15,162.95,163.87,156.42,157.34,3.9012230056,3.7918734E7
2019-02-19,156.91,159.89,156.14,156.64,3.8838666048,1.3797316E7
2019-02-20,157.82,161.26,157.37,158.55,3.9312247842,1.3524737E7
2019-02-21,159.06,160.05,155.18,155.77,3.8622950781,1.1213668E7
2019-02-22,157.86,159.95,157.31,159.19,3.9470934935,1.0043531E7
2019-02-25,162.56,165.28,158.34,158.69,3.9346960643,1.6400481E7
2019-02-26,158.5,160.76,155.75,157.1,3.8952722396,1.2211571E7
2019-02-27,156.52,157.59,153.11,155.41,3.8533689291,1.2506381E7
2019-02-28,155.0,155.9,153.36,154.26,3.8288220194,8123565.0
2019-03-01,156.27,158.15,153.92,156.45,3.8831790803,8929678.0
2019-03-04,158.0,158.92,154.5,156.78,3.8913698703,1.024975E7
2019-03-05,156.15,158.06,153.96,156.52,3.8849165206,9073119.0
2019-03-06,156.16,156.5,151.94,152.05,3.7739685469,1.0088149E7
2019-03-07,151.1,151.49,147.4,149.26,3.7047191405,1.1252633E7
2019-03-08,145.66,151.07,144.8,150.64,3.7389715351,1.0560371E7
2019-03-11,151.59,162.06,149.69,161.14,3.9995875807,2.149315E7
2019-03-12,162.26,164.39,159.19,162.52,4.0338399753,1.4489368E7
2019-03-13,164.03,169.8,163.73,168.62,4.1852454875,1.9222518E7
2019-03-14,168.99,169.47,165.25,165.56,4.1092945256,1.298463E7
2019-03-15,167.3,171.53,167.16,169.81,4.2147819727,1.6536482E7
2019-03-18,171.08,173.25,167.86,168.95,4.1934362775,1.2174829E7
2019-03-19,172.76,177.5,172.08,175.71,4.3612233698,2.137431E7
2019-03-20,176.88,179.03,173.0,174.4,4.3287084155,1.7978715E7
2019-03-21,175.33,185.0,175.13,183.94,4.5654967084,2.0607767E7
2019-03-22,182.84,184.8,176.94,177.5,4.4056522004,1.8691087E7
2019-03-25,175.86,178.45,171.11,173.78,4.3133196585,1.3130301E7
2019-03-26,179.49,181.75,174.6,176.87,4.3900152377,1.7587678E7
2019-03-27,177.9,179.77,173.7,176.5,4.3808316246,1.1859294E7
2019-03-28,177.55,179.9,175.11,177.25,4.3994470565,1.2006602E7
2019-03-29,179.94,180.54,177.91,179.56,4.4567825865,1.1422379E7
2019-04-01,183.26,183.5,180.37,182.28,4.5242945526,1.2095612E7
2019-04-02,183.25,184.79,181.52,183.0,4.5421653672,1.1022996E7
2019-04-03,185.0,191.0,184.8,188.62,4.6816570031,1.9719468E7
2019-04-04,188.0,189.97,185.73,188.26,4.6727215958,1.1434419E7
2019-04-05,190.0,191.65,188.53,190.95,4.7394889446,1.2043649E7
2019-04-08,189.72,192.8,188.75,191.79,4.7603382283,1.0604848E7
2019-04-09,190.44,190.89,187.56,189.26,4.6975421716,1.099932E7
2019-04-10,189.23,193.14,189.05,192.1,4.7680326068,1.1119307E7
2019-04-11,192.2,193.47,189.55,191.54,4.7541330843,9365037.0
2019-04-12,193.1,193.26,189.66,190.01,4.7161576034,1.1792664E7
2019-04-15,189.7,189.9,183.1,184.7,4.584360346,1.1002345E7
2019-04-16,186.28,188.97,184.96,188.21,4.671480567,9874091.0
2019-04-17,189.62,190.46,186.39,187.29,4.6486456373,8775068.0
2019-04-18,187.56,188.93,185.18,186.3,4.6240732673,9524704.0
2019-04-22,185.35,189.1,184.08,188.47,4.6779339167,6998388.0
2019-04-23,189.0,191.93,188.61,190.67,4.7325391834,8671381.0
2019-04-24,191.09,192.81,188.64,191.17,4.7449494713,7955120.0
2019-04-25,189.55,190.45,183.7,186.91,4.6392138185,1.2482437E7
2019-04-26,180.71,180.89,173.3,178.09,4.4202963401,2.1724729E7
2019-04-29,178.41,180.45,175.5,179.33,4.4510738541,9797983.0
2019-04-30,178.03,182.03,177.26,181.0,4.4925242156,9073040.0
2019-05-01,183.11,184.81,180.46,180.47,4.4793693105,8857031.0
2019-05-02,180.86,184.87,179.12,183.19,4.5468812766,9867135.0
2019-05-03,183.53,183.93,180.53,183.01,4.542413573,8420587.0
2019-05-06,175.5,180.34,174.0,179.85,4.4639805535,1.0554445E7
2019-05-07,177.9,177.9,171.17,173.11,4.2966898728,1.3880458E7
2019-05-08,172.0,177.15,171.52,173.92,4.3167945391,1.0479154E7
2019-05-09,171.14,171.53,165.4,170.19,4.2242137915,1.6506164E7
2019-05-10,168.95,171.59,164.0,168.82,4.1902096027,1.4237451E7
2019-05-13,163.5,164.43,157.81,158.45,3.9328202319,1.6422819E7
2019-05-14,160.05,163.46,158.49,162.04,4.0219260989,1.3121972E7
2019-05-15,159.8,161.05,157.41,159.58,3.9608674825,1.2558001E7
2019-05-16,159.36,161.91,157.65,160.19,3.9760080337,1.9527204E7
2019-05-17,158.5,163.71,154.94,156.53,3.8851647264,2.5551698E7
2019-05-20,152.55,154.77,150.75,151.75,3.7665223742,1.4301634E7
2019-05-21,154.2,155.7,152.64,155.06,3.84867848,9046247.0
2019-05-22,153.5,154.55,151.76,152.2,3.7776916333,8146740.0
2019-05-23,149.69,149.69,144.91,147.32,3.6565672235,1.4796109E7
2019-05-24,148.08,149.5,144.88,145.15,3.602706574,8939632.0
2019-05-28,145.86,147.18,143.25,143.33,3.5575331261,1.0708852E7
2019-05-29,141.41,142.82,138.94,140.34,3.4833196046,1.3995037E7
2019-05-30,140.31,141.75,137.57,139.11,3.4567615885,9857490.0
2019-05-31,137.14,139.85,135.39,135.46,3.3660622872,9742992.0
2019-06-03,135.91,137.47,132.6,133.78,3.3243157595,1.196608E7
2019-06-04,136.36,143.21,135.47,143.0,3.5534246794,1.6045885E7
2019-06-05,145.97,146.19,139.82,141.28,3.5106841868,1.2790385E7
2019-06-06,141.45,144.77,141.35,143.78,3.5728069958,1.0203462E7
2019-06-07,144.02,146.88,143.25,145.5,3.6155474885,8721438.0
2019-06-10,147.76,151.19,147.76,148.43,3.6883554207,1.0069522E7
2019-06-11,150.84,152.36,149.16,150.75,3.7460053875,9596751.0
2019-06-12,149.0,149.25,145.59,146.2,3.632941875,8972298.0
2019-06-13,147.09,149.0,146.38,148.26,3.6841310697,7702027.0
2019-06-14,144.51,145.49,142.84,144.64,3.5941772422,9860656.0
2019-06-17,144.57,146.52,143.65,145.03,3.6038684004,6901037.0
2019-06-18,147.5,155.11,147.06,152.88,3.7989340209,1.454795E7
2019-06-19,154.3,154.7568,152.0738,153.12,3.8048978106,8291099.0
2019-06-20,156.77,157.33,153.52,154.1,3.8292499517,8754182.0
2019-06-21,153.5,155.48,151.5,151.76,3.7711030024,1.0860672E7
2019-06-24,152.62,153.85,150.72,152.66,3.7934672137,7073718.0
2019-06-25,152.86,155.88,151.37,151.48,3.7641452478,7796661.0
2019-06-26,156.61,161.72,156.09,159.26,3.9574714297,1.4601825E7
2019-06-27,162.71,164.0,161.26,163.23,4.0561224505,1.1136038E7
2019-06-28,165.0,165.37,162.35,164.23,4.0809715741,9941659.0
2019-07-01,172.57,173.95,164.66,166.17,4.129178874,1.7788327E7
2019-07-02,165.5,166.35,161.7,162.23,4.0312733268,1.0005688E7
2019-07-03,163.17,163.4,160.34,162.75,4.0441948711,6165856.0
2019-07-05,160.4,160.58,157.68,160.23,3.9815750796,9913847.0
2019-07-08,157.83,158.59,156.0,157.21,3.9065307262,8244669.0
2019-07-09,155.51,158.44,155.0,157.31,3.9090156386,8571512.0
2019-07-10,159.06,162.37,158.5,160.06,3.9773507286,1.1301899E7
2019-07-11,163.0,167.92,161.5,166.28,4.1319122776,1.7063964E7
2019-07-12,167.4,170.47,167.4,167.61,4.164961612,1.2659816E7
2019-07-15,168.46,169.11,166.13,167.27,4.15651291,7245993.0
2019-07-16,166.67,168.17,164.84,167.08,4.1517915765,8536098.0
2019-07-17,167.15,169.99,165.97,169.71,4.2171447716,8705107.0
2019-07-18,170.13,172.71,167.85,170.18,4.2288238597,1.1079474E7
2019-07-19,171.72,171.98,168.2,168.44,4.1855863846,8622395.0
2019-07-22,169.3,171.84,169.0,171.32,4.2571518607,7898498.0
2019-07-23,172.9,175.74,172.27,175.66,4.3649970572,1.0704414E7
2019-07-24,177.4,178.89,174.34,178.66,4.4395444281,9155937.0
2019-07-25,176.99,177.5,172.44,173.38,4.3083410553,9817453.0
2019-07-26,174.47,176.95,174.47,175.07,4.3503360743,6853997.0
2019-07-29,174.78,175.47,171.27,174.82,4.3441237934,6204049.0
2019-07-30,172.95,175.94,172.37,175.45,4.3597787413,4944261.0
2019-07-31,174.18,174.22,167.02,168.72,4.1925441392,8985391.0
2019-08-01,169.14,172.78,162.82,164.92,4.0981174694,1.0530314E7
2019-08-02,161.19,163.98,159.28,161.19,4.0054302383,1.0708732E7
2019-08-05,153.8,153.85,148.9,150.79,3.7469993525,1.4728936E7
2019-08-06,153.8,155.63,150.43,152.35,3.7857639854,9031767.0
2019-08-07,149.9,154.37,149.2,153.89,3.8240316358,9314045.0
2019-08-08,156.21,158.31,153.9,158.26,3.932622306,7732472.0
2019-08-09,156.61,156.75,152.15,154.18,3.8312378816,8545418.0
2019-08-12,152.08,154.18,150.57,151.45,3.7633997741,6980012.0
